Account,Document Number,Assignment,Document Type,Document Date,Net Due Date,Arrears by Net Due Date,Amount in Local Currency,Text,Reference
200121,9974701382,9974701382,DR,9/28/2025,9/29/2025,0,"9,308.92",,2.50952E+13
200121,9974701383,9974701383,DR,9/28/2025,9/29/2025,0,"21,648.69",,2.50952E+13
200121,9974701415,9974701415,DR,9/28/2025,9/29/2025,0,"92,596.65",,CMI2509000000507
200121,9974701416,9974701416,DR,9/28/2025,9/29/2025,0,"714,576.02",,FOC.20021225X25
200121,9974701417,9974701417,DR,9/28/2025,9/29/2025,0,"161,692.38",,FOC.20012175X75
200121,9974701418,9974701418,DR,9/28/2025,9/29/2025,0,"162,782.01",,CMI2509000000420
200121,,,,,,,"3,373,493.17",,
358472,9974698176,9974698176,DR,9/26/2025,9/27/2025,2,"841,078.57",จ่ายวันที่  26/9/2025 exclude,G2409535847217
358472,9974698177,9974698177,DR,9/26/2025,9/27/2025,2,"712,627.58",จ่ายวันที่  26/9/2025 exclude,G23095358472117
358472,9974698178,9974698178,DR,9/26/2025,9/27/2025,2,"293,643.74",จ่ายวันที่  26/9/2025 exclude,JFOC1825092025X6
358472,9974698179,9974698179,DR,9/26/2025,9/27/2025,2,"33,246.12",จ่ายวันที่  26/9/2025 exclude,G25095358472110
358472,9974700594,9974700594,DR,9/27/2025,9/28/2025,1,"34,846.25",,G2609535847215
358472,,,,,,,"1,915,442.26",,
1991089,9974686781,9974686781,DG,9/19/2025,9/19/2025,10,"-67,900.00","1,648,179.81 on 26.09 paid exclude",PR_NP09_62_PPNR
1991089,9974694985,9974694985,DR,9/24/2025,9/25/2025,4,"1,681,531.75","1,648,179.81 on 26.09 paid exclude",N2209519910892
1991089,9974694986,9974694986,DR,9/24/2025,9/25/2025,4,"34,548.06","1,648,179.81 on 26.09 paid exclude",N2309519910892
1991089,9974698654,9974698654,DR,9/26/2025,9/27/2025,2,"27,187.03",,N2409519910892
1991089,9974699262,9974699262,DG,9/26/2025,9/26/2025,3,-995.31,,PR_NP09_117_PPNR
1991089,9974699286,9974699286,DG,9/26/2025,9/26/2025,3,"-1,389.70",,PR_NP09_120_PPNR
1991089,9974699377,9974699377,DG,9/26/2025,9/26/2025,3,-347.66,,PR_NP09_130_PPNR
1991089,9974699409,9974699409,DG,9/26/2025,9/26/2025,3,"-1,941.97",,PR_NP09_116_PPNR
1991089,9974699462,9974699462,DG,9/26/2025,9/26/2025,3,"-3,651.70",,PR_NP09_115_PPNR
1991089,9974699523,9974699523,DG,9/26/2025,9/26/2025,3,-363.14,,PR_NP09_68_PPNR
1991089,9974699572,9974699572,DG,9/26/2025,9/26/2025,3,"-2,133.53",,PR_NP09_65_PPNR
1991089,9974699627,9974699627,DG,9/26/2025,9/26/2025,3,"-1,820.92",,PR_NP09_67_PPNR
1991089,9974699666,9974699666,DG,9/26/2025,9/26/2025,3,-205.99,,PR_NP09_66_PPNR
1991089,9974699977,9974699977,DG,9/26/2025,9/26/2025,3,-490.65,,PR_NP09_122_PPNR
1991089,9974700038,9974700038,DG,9/26/2025,9/26/2025,3,-18.68,,PR_NP09_119_PPNR
1991089,9974700050,9974700050,DG,9/26/2025,9/26/2025,3,"-12,070.09",,PR_NP09_69_PPNR
1991089,9974700082,9974700082,DG,9/26/2025,9/26/2025,3,"-1,411.27",,PR_NP09_109_PPNR
1991089,9974700084,9974700084,DG,9/26/2025,9/26/2025,3,-553.33,,PR_NP09_110_PPNR
1991089,9974700211,9974700211,DG,9/26/2025,9/26/2025,3,-942.26,,PR_NP09_108_PPNR
1991089,,,,,,,"1,647,030.64",,
2473346,9974691312,9974691312,DG,9/23/2025,9/23/2025,6,"-9,681.22",จ่ายวันที่  26/9/2025 exclude,PR_IC09_23_SMNR
2473346,9974691349,9974691349,DG,9/23/2025,9/23/2025,6,"-64,932.76",จ่ายวันที่  26/9/2025 exclude,PR_IC09_26_SMNR
2473346,9974691460,9974691460,DG,9/23/2025,9/23/2025,6,"-64,020.00",จ่ายวันที่  26/9/2025 exclude,PR_IC09_27_SMNR
2473346,9974691540,9974691540,DG,9/23/2025,9/23/2025,6,"-5,759.87",จ่ายวันที่  26/9/2025 exclude,PR_IC09_25_SMNR
2473346,9974691551,9974691551,DG,9/23/2025,9/23/2025,6,-317.76,จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691563,9974691563,DG,9/23/2025,9/23/2025,6,-294.39,จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691576,9974691576,DG,9/23/2025,9/23/2025,6,"-1,487.10",จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691590,9974691590,DG,9/23/2025,9/23/2025,6,"-9,700.00",จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691599,9974691599,DG,9/23/2025,9/23/2025,6,"-20,438.46",จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691607,9974691607,DG,9/23/2025,9/23/2025,6,"-2,716.00",จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691617,9974691617,DG,9/23/2025,9/23/2025,6,"-6,725.45",จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691623,9974691623,DG,9/23/2025,9/23/2025,6,"-35,249.80",จ่ายวันที่  26/9/2025 exclude,PR_IC09_33_SMNR
2473346,9974691992,9974691992,DR,9/23/2025,9/24/2025,5,"985,663.62",จ่ายวันที่  26/9/2025 exclude,CMI2509000000447
2473346,9974698594,9974698594,DR,9/26/2025,9/27/2025,2,"921,598.64",,CMI2509000000501
2473346,,,,,,,"1,685,939.45",,
2581593,9974696630,,RV,9/25/2025,9/25/2025,4,"-68,559.11",,VR_PC09_11SMNR
2581593,9974696698,9974696698,DR,9/25/2025,9/26/2025,3,"468,781.87",จ่ายวันที่  26/9/2025 exclude,CMI2509000000423
2581593,9974696847,,RV,9/25/2025,9/25/2025,4,"-76,324.09",,VR_PC09_11SMNR
